Date,BTC-USD,ETH-USD,THETA-USD,ALGO-USD,WAVES-USD
2017-08-15,4181.93017578125,289.8179931640625,,,4.790559768676758
2017-08-16,4376.6298828125,302.2669982910156,,,4.834259986877441
2017-08-17,4331.68994140625,301.4570007324219,,,4.5774102210998535
2017-08-18,4160.6201171875,295.5899963378906,,,4.299789905548096
2017-08-19,4193.7001953125,297.4700012207031,,,4.42834997177124
2017-08-20,4087.659912109375,301.4280090332031,,,4.864640235900879
2017-08-21,4001.739990234375,321.59100341796875,,,4.390659809112549
2017-08-22,4100.52001953125,314.7850036621094,,,4.459949970245361
2017-08-23,4151.52001953125,317.5190124511719,,,4.598390102386475
2017-08-24,4334.68017578125,325.6109924316406,,,5.021249771118164
2017-08-25,4371.60009765625,331.9150085449219,,,5.270349979400635
2017-08-26,4352.39990234375,333.8819885253906,,,5.318349838256836
2017-08-27,4382.8798828125,347.89300537109375,,,5.225689888000488
2017-08-28,4382.66015625,347.74700927734375,,,5.261380195617676
2017-08-29,4579.02001953125,370.6669921875,,,5.451019763946533
2017-08-30,4565.2998046875,378.4849853515625,,,5.481659889221191
2017-08-31,4703.39013671875,383.0419921875,,,5.9428300857543945
2017-09-01,4892.009765625,387.7409973144531,,,5.738309860229492
2017-09-02,4578.77001953125,348.9840087890625,,,5.23429012298584
2017-09-03,4582.9599609375,347.4840087890625,,,5.19635009765625
2017-09-04,4236.31005859375,295.1709899902344,,,4.660029888153076
2017-09-05,4376.52978515625,312.9880065917969,,,4.9793901443481445
2017-09-06,4597.1201171875,334.3380126953125,,,5.1577301025390625
2017-09-07,4599.8798828125,329.4280090332031,,,4.983670234680176
2017-09-08,4228.75,296.49700927734375,,,4.503429889678955
2017-09-09,4226.06005859375,294.4049987792969,,,4.455249786376953
2017-09-10,4122.93994140625,288.74700927734375,,,4.407919883728027
2017-09-11,4161.27001953125,294.5320129394531,,,4.3453497886657715
2017-09-12,4130.81005859375,291.4639892578125,,,4.377280235290527
2017-09-13,3882.590087890625,277.11199951171875,,,3.94638991355896
2017-09-14,3154.949951171875,213.9080047607422,,,3.08912992477417
2017-09-15,3637.52001953125,250.46400451660156,,,3.7828400135040283
2017-09-16,3625.0400390625,246.52200317382812,,,3.7556300163269043
2017-09-17,3582.8798828125,251.74899291992188,,,3.644479990005493
2017-09-18,4065.199951171875,293.49700927734375,,,4.3418498039245605
2017-09-19,3924.969970703125,282.8039855957031,,,4.155590057373047
2017-09-20,3905.949951171875,283.74200439453125,,,4.073860168457031
2017-09-21,3631.0400390625,258.5799865722656,,,3.64382004737854
2017-09-22,3630.699951171875,264.30999755859375,,,3.765470027923584
2017-09-23,3792.39990234375,286.1679992675781,,,3.967679977416992
2017-09-24,3682.840087890625,282.4830017089844,,,3.967560052871704
2017-09-25,3926.070068359375,292.3320007324219,,,4.228000164031982
2017-09-26,3892.35009765625,287.43798828125,,,4.789700031280518
2017-09-27,4200.669921875,306.4670104980469,,,5.16733980178833
2017-09-28,4174.72998046875,299.1549987792969,,,4.776780128479004
2017-09-29,4163.06982421875,291.4670104980469,,,4.929450035095215
2017-09-30,4338.7099609375,301.4649963378906,,,5.036610126495361
2017-10-01,4403.740234375,302.3370056152344,,,4.974679946899414
2017-10-02,4409.31982421875,297.4750061035156,,,4.850450038909912
2017-10-03,4317.47998046875,292.4630126953125,,,4.732089996337891
2017-10-04,4229.35986328125,292.6579895019531,,,4.91363000869751
2017-10-05,4328.41015625,295.8630065917969,,,4.968220233917236
2017-10-06,4370.81005859375,308.5880126953125,,,4.971980094909668
2017-10-07,4426.89013671875,311.1239929199219,,,5.02230978012085
2017-10-08,4610.47998046875,308.6080017089844,,,4.441140174865723
2017-10-09,4772.02001953125,297.3919982910156,,,4.130929946899414
2017-10-10,4781.990234375,299.8699951171875,,,4.118810176849365
2017-10-11,4826.47998046875,303.45599365234375,,,4.175990104675293
2017-10-12,5446.91015625,304.135986328125,,,3.68572998046875
2017-10-13,5647.2099609375,338.7569885253906,,,3.9737699031829834
2017-10-14,5831.7900390625,339.62799072265625,,,4.002170085906982
2017-10-15,5678.18994140625,336.5950012207031,,,3.801219940185547
2017-10-16,5725.58984375,333.3840026855469,,,4.017819881439209
2017-10-17,5605.509765625,317.0820007324219,,,3.922489881515503
2017-10-18,5590.68994140625,314.3190002441406,,,4.043889999389648
2017-10-19,5708.52001953125,308.0880126953125,,,3.892430067062378
2017-10-20,6011.4501953125,304.0060119628906,,,3.6633501052856445
2017-10-21,6031.60009765625,300.18701171875,,,3.5812900066375732
2017-10-22,6008.419921875,295.4460144042969,,,3.581510066986084
2017-10-23,5930.31982421875,286.95001220703125,,,3.6714000701904297
2017-10-24,5526.64013671875,298.3280029296875,,,3.7592999935150146
2017-10-25,5750.7998046875,297.92498779296875,,,3.69992995262146
2017-10-26,5904.830078125,296.5270080566406,,,3.622189998626709
2017-10-27,5780.89990234375,297.4230041503906,,,3.543179988861084
2017-10-28,5753.08984375,296.2980041503906,,,3.458899974822998
2017-10-29,6153.85009765625,305.0880126953125,,,3.535640001296997
2017-10-30,6130.52978515625,307.7510070800781,,,3.483419895172119
2017-10-31,6468.39990234375,305.8789978027344,,,3.236949920654297
2017-11-01,6767.31005859375,291.6940002441406,,,2.8938000202178955
2017-11-02,7078.5,287.4289855957031,,,3.186429977416992
2017-11-03,7207.759765625,305.71099853515625,,,3.6826798915863037
2017-11-04,7379.9501953125,300.468994140625,,,3.622760057449341
2017-11-05,7407.41015625,296.26300048828125,,,3.453890085220337
2017-11-06,7022.759765625,298.8919982910156,,,3.5239500999450684
2017-11-07,7144.3798828125,294.65899658203125,,,3.694809913635254
2017-11-08,7459.68994140625,309.07000732421875,,,4.504429817199707
2017-11-09,7143.580078125,320.8840026855469,,,4.9060797691345215
2017-11-10,6618.14013671875,299.25299072265625,,,4.237820148468018
2017-11-11,6357.60009765625,314.6809997558594,,,4.118370056152344
2017-11-12,5950.06982421875,307.9079895019531,,,3.696470022201538
2017-11-13,6559.490234375,316.71600341796875,,,4.396100044250488
2017-11-14,6635.75,337.6310119628906,,,5.033470153808594
2017-11-15,7315.5400390625,333.35699462890625,,,5.0460100173950195
2017-11-16,7871.68994140625,330.92401123046875,,,4.756229877471924
2017-11-17,7708.990234375,332.3940124511719,,,4.777699947357178
2017-11-18,7790.14990234375,347.61199951171875,,,5.297760009765625
2017-11-19,8036.490234375,354.385986328125,,,5.122119903564453
2017-11-20,8200.6396484375,366.7300109863281,,,5.273119926452637
2017-11-21,8071.259765625,360.4010009765625,,,5.187240123748779
2017-11-22,8253.5498046875,380.6520080566406,,,5.293980121612549
2017-11-23,8038.77001953125,410.1659851074219,,,5.18966007232666
2017-11-24,8253.6904296875,474.9110107421875,,,5.228390216827393
2017-11-25,8790.919921875,466.2760009765625,,,5.348999977111816
2017-11-26,9330.5498046875,471.3299865722656,,,5.684919834136963
2017-11-27,9818.349609375,480.3550109863281,,,5.6540398597717285
2017-11-28,10058.7998046875,472.9020080566406,,,5.929319858551025
2017-11-29,9888.6103515625,427.52301025390625,,,5.166659832000732
2017-11-30,10233.599609375,447.114013671875,,,4.879030227661133
2017-12-01,10975.599609375,466.5400085449219,,,5.804749965667725
2017-12-02,11074.599609375,463.4490051269531,,,6.111299991607666
2017-12-03,11323.2001953125,465.8529968261719,,,6.1987199783325195
2017-12-04,11657.2001953125,470.2040100097656,,,6.689899921417236
2017-12-05,11916.7001953125,463.281005859375,,,7.4260101318359375
2017-12-06,14291.5,428.5880126953125,,,8.433770179748535
2017-12-07,17899.69921875,434.4079895019531,,,8.515789985656738
2017-12-08,16569.400390625,456.031005859375,,,8.395580291748047
2017-12-09,15178.2001953125,473.50201416015625,,,8.721460342407227
2017-12-10,15455.400390625,441.72100830078125,,,9.761560440063477
2017-12-11,16936.80078125,515.135986328125,,,11.222399711608887
2017-12-12,17415.400390625,651.4310302734375,,,14.8641996383667
2017-12-13,16408.19921875,702.7670288085938,,,13.647000312805176
2017-12-14,16564.0,695.8159790039062,,,13.638299942016602
2017-12-15,17706.900390625,684.447998046875,,,13.086400032043457
2017-12-16,19497.400390625,696.208984375,,,13.402000427246094
2017-12-17,19140.80078125,719.9749755859375,,,13.535900115966797
2017-12-18,19114.19921875,794.64501953125,,,15.60890007019043
2017-12-19,17776.69921875,826.822998046875,,,15.887200355529785
2017-12-20,16624.599609375,819.0859985351562,,,15.208700180053711
2017-12-21,15802.900390625,821.06298828125,,,16.026599884033203
2017-12-22,13831.7998046875,674.8599853515625,,,12.520600318908691
2017-12-23,14699.2001953125,719.3870239257812,,,14.272700309753418
2017-12-24,13925.7998046875,694.1480102539062,,,13.812199592590332
2017-12-25,14026.599609375,765.833984375,,,14.277199745178223
2017-12-26,16099.7998046875,773.8359985351562,,,14.197500228881836
2017-12-27,15838.5,762.8419799804688,,,13.5826997756958
2017-12-28,14606.5,737.0230102539062,,,12.70989990234375
2017-12-29,14656.2001953125,753.5919799804688,,,13.64009952545166
2017-12-30,12952.2001953125,717.2570190429688,,,11.809800148010254
2017-12-31,14156.400390625,756.7329711914062,,,12.596599578857422
2018-01-01,13657.2001953125,772.6409912109375,,,12.57409954071045
2018-01-02,14982.099609375,884.4439697265625,,,13.349800109863281
2018-01-03,15201.0,962.719970703125,,,12.994500160217285
