data,a,b,c,d,e,f
,15,19,33,35,62,68
,8,24,32,34,65,86
,15,24,32,52,68,71
,2,19,25,59,84,88
,6,16,40,61,64,82
,12,22,27,37,52,87
,17,22,54,69,82,88
,3,4,18,29,64,90
,9,41,46,47,53,77
,4,9,24,64,74,76
,17,36,48,55,63,70
,14,15,34,55,59,81
,23,49,52,65,67,76
,22,29,57,72,85,89
,16,19,24,37,63,85
,2,16,20,26,31,33
,11,14,39,63,73,75
,33,38,41,43,46,57
,17,19,40,43,72,84
,16,47,55,57,70,85
,8,21,24,25,27,75
,15,16,34,74,85,87
,14,16,32,35,41,50
,2,14,42,52,75,79
,5,33,47,61,64,70
,1,33,41,78,83,84
,20,21,24,43,76,89
,3,5,11,14,38,79
,4,11,15,26,58,68
,19,21,30,59,61,89
,1,2,5,27,39,49
,6,44,63,64,72,82
,19,54,55,71,80,84
,11,20,50,62,70,85
,1,7,56,70,88,90
,15,23,45,70,81,82
,41,55,72,78,83,87
,35,44,57,58,87,88
,7,44,48,51,64,83
,20,35,45,47,72,78
,1,21,34,44,49,90
,15,21,28,75,81,86
,36,61,75,81,82,89
,1,27,33,36,43,86
,4,38,42,57,64,75
,28,57,61,69,78,83
,16,21,26,64,66,78
,7,14,42,43,56,57
,2,5,8,65,74,77
,1,31,39,60,62,84
,3,7,12,20,48,55
,10,19,20,39,85,87
,22,36,60,64,71,80
,11,18,40,58,81,87
,12,30,36,44,54,60
,2,5,34,56,72,73
,1,3,5,41,62,76
,24,48,50,62,63,87
,12,23,49,53,67,83
,13,18,26,37,46,48
,1,12,67,75,81,90
,4,9,10,76,78,87
,9,19,21,50,61,82
,10,22,39,55,81,89
,16,26,30,52,57,83
,23,45,54,61,69,75
,16,36,54,55,63,69
,14,15,39,47,53,76
,28,37,52,57,64,66
,6,10,19,71,72,89
,20,25,30,45,75,79
,31,51,55,66,73,78
,10,11,35,42,52,89
,12,40,42,66,73,80
,28,34,42,68,71,88
,2,16,42,67,75,87
,10,16,20,57,65,89
,10,19,32,49,53,66
,5,33,44,46,66,76
,12,22,27,43,60,72
,10,23,27,39,70,82
,2,14,17,21,22,26
,15,43,48,54,55,76
,10,39,45,65,74,86
,39,52,69,70,74,82
,25,60,62,76,82,87
,49,55,57,64,70,77
,19,26,30,47,69,81
,14,47,48,58,60,69
,15,17,24,41,70,87
,11,37,39,52,68,90
,4,7,25,74,82,87
,3,18,34,37,40,47
,14,18,38,41,74,78
,5,23,35,54,56,62
,3,6,12,13,19,67
,22,34,53,59,62,88
,9,17,27,29,59,67
,7,21,28,45,59,90
,3,6,41,44,48,73
,3,12,25,33,59,85
,9,12,14,61,79,90
,8,16,41,52,64,74
,12,27,38,43,65,67
,9,11,17,20,33,75
,18,31,62,64,72,77
,15,36,49,62,75,82
,14,26,47,63,78,80
,17,19,28,34,38,82
,26,51,52,54,70,88
,19,32,54,59,68,86
,7,8,47,56,79,90
,40,46,51,61,65,76
,15,61,66,67,76,79
,35,45,50,51,82,87
,49,51,53,56,58,81
,10,28,40,57,58,78
,1,5,22,24,41,43
,38,39,46,58,66,83
,15,18,28,49,51,77
,19,22,31,38,87,89
,28,36,42,70,74,78
,8,12,47,64,83,88
,12,21,57,68,86,88
,7,56,66,72,73,90
,40,47,59,64,79,89
,9,31,33,37,79,86
,11,61,64,76,82,87
,22,25,46,52,54,65
,14,29,34,62,65,89
,3,26,33,44,48,49
,11,20,51,63,68,88
,42,45,56,75,79,90
,14,16,21,24,62,78
,5,7,11,67,70,85
,3,9,13,25,42,81
,27,33,40,52,76,86
,15,33,45,60,72,85
,27,44,46,50,54,69
,1,3,4,60,70,73
,6,9,54,70,78,79
,8,39,40,57,69,81
,3,5,16,54,58,68
,20,47,56,64,66,67
,5,31,36,68,75,90
,10,17,41,45,69,78
,8,23,48,56,59,78
,3,22,38,70,77,81
,32,37,52,53,66,83
,27,32,33,52,73,84
,1,6,7,10,14,56
,3,25,26,29,48,79
,11,31,43,70,74,80
,12,18,39,46,56,63
,27,29,30,42,48,73
,13,18,19,27,50,69
,3,31,45,48,71,76
,21,29,43,53,66,89
,16,19,24,36,39,81
,14,61,69,79,81,85
,3,22,31,42,73,88
,8,43,61,62,70,86
,17,20,41,42,49,81
,31,35,48,64,65,89
,1,13,21,25,61,63
,15,31,38,47,55,82
,5,8,32,43,59,85
,3,11,18,30,51,85
,11,20,48,52,70,74
,5,15,17,31,32,40
,6,11,12,28,59,79
,29,48,49,54,75,87
,7,32,58,60,66,69
,4,12,13,55,73,86
,1,10,26,28,29,62
,32,45,56,74,87,89
,14,19,22,66,80,90
,29,38,54,58,72,86
,2,19,22,41,77,89
,10,29,50,59,79,80
,9,10,26,53,68,72
,11,24,34,39,68,86
,4,12,24,61,73,75
,31,63,64,68,69,71
,15,30,62,63,67,74
,4,31,52,73,76,84
,16,45,51,58,60,71
,1,20,44,56,59,69
,22,39,51,78,83,84
,23,38,43,46,60,75
,6,20,27,31,32,36
,31,39,41,53,67,83
,26,33,53,61,73,82
,12,20,26,41,70,78
,13,14,56,58,79,82
,7,20,25,51,65,87
,1,15,16,23,24,52
,11,19,37,41,62,77
,15,36,39,50,57,76
,6,25,42,59,78,89
,4,45,59,77,78,79
,1,9,12,14,58,84
,28,33,49,55,59,76
,3,9,42,50,56,88
,2,6,11,62,70,71
,7,15,17,18,26,53
,17,20,26,41,45,89
,6,11,28,43,56,83
,19,21,38,45,51,69
,6,9,24,49,78,79
,20,40,44,53,66,72
,18,34,41,43,46,55
,7,21,44,53,59,64
,8,28,44,57,85,88
,26,30,32,36,44,61
,22,39,45,53,74,86
,7,9,32,35,40,48
,13,18,23,29,58,88
,46,58,59,82,88,90
,21,33,69,73,81,84
,23,27,39,41,52,64
,2,38,47,50,55,79
,28,42,62,64,79,80
,38,58,65,66,72,88
,42,45,48,56,68,83
,22,25,55,58,82,85
,17,36,62,67,70,87
,13,18,26,53,54,70
,3,14,35,63,73,80
,9,25,35,59,76,81
,7,52,57,65,83,85
,10,11,21,54,73,82
,2,23,35,46,47,63
,20,22,24,25,48,79
,12,13,19,37,64,70
,15,35,45,69,82,84
,19,28,48,52,82,89
,1,13,24,26,29,77
,18,22,55,58,62,89
,33,46,53,58,73,85
,15,25,31,39,82,88
,5,24,51,76,77,79
,14,26,31,40,58,68
,16,37,48,68,84,90
,9,16,19,26,28,46
,6,9,29,41,50,90
,2,13,22,37,48,90
,9,10,36,67,76,83
,2,5,7,12,23,42
,18,22,31,54,71,80
,2,11,15,39,84,87
,11,12,44,57,77,89
,22,23,24,59,63,81
,5,10,47,59,66,73
,27,29,58,64,67,80
,8,44,54,58,59,86
,12,29,43,56,60,75
,7,8,10,45,49,53
,24,27,38,40,56,81
,30,59,72,74,77,78
,25,32,44,56,77,87
,13,31,32,57,60,79
,20,27,40,60,61,66
,23,35,44,49,66,84
,5,16,33,48,57,87
,6,29,56,72,82,83
,17,41,44,57,73,86
,5,10,34,48,56,87
,16,26,48,61,63,87
,35,44,62,74,82,90
,26,36,56,68,73,81
,9,19,68,70,71,81
,7,36,38,63,73,90
,28,30,39,46,68,89
,10,13,21,36,66,69
,5,7,20,38,57,85
,4,7,9,19,55,58
,8,17,29,32,65,90
,10,21,40,46,79,84
,5,22,60,71,74,81
,3,15,23,33,46,78
,33,36,61,66,83,85
,11,38,44,48,56,83
,4,18,20,68,72,77
,7,25,30,44,47,68
,26,54,55,73,86,90
,36,45,56,79,81,90
,37,38,43,69,79,86
,10,11,18,36,47,85
,4,17,52,59,67,84
,8,13,27,34,47,83
,8,26,39,56,78,85
,10,41,59,61,65,71
,18,28,31,33,55,78
,6,34,45,46,59,73
,7,31,33,78,86,87
,12,32,43,46,58,77
,31,40,52,55,62,76
,10,19,48,78,85,90
,19,25,42,51,55,56
,3,32,39,65,75,76
,6,20,43,44,46,67
,17,21,23,51,65,87
,4,24,29,31,39,71
,6,9,21,69,77,78
,6,33,57,61,80,83
,13,33,39,56,65,86
,3,28,37,42,67,86
,14,17,23,45,87,88
,16,24,34,40,41,57
,15,21,58,80,82,86
,26,48,52,61,75,79
,19,35,36,38,45,80
,6,28,55,57,78,83
,18,21,28,62,84,90
,6,11,21,65,66,85
,20,24,26,33,42,80
,18,46,63,68,73,79
,17,22,45,48,53,61
,4,11,16,25,34,59
,8,17,30,61,78,88
,8,30,38,51,62,66
,19,25,31,78,83,88
,8,54,59,66,86,89
,8,30,34,39,42,58
,12,17,32,47,74,86
,22,27,29,49,69,87
,22,42,47,62,70,72
,1,21,63,70,79,84
,33,41,44,48,68,75
,2,20,21,40,45,65
,4,26,34,66,67,81
,13,18,25,26,35,61
,2,26,34,58,80,81
,34,53,77,78,83,89
,2,27,36,39,53,79
,3,7,17,26,55,72
,17,25,32,42,71,85
,4,17,34,41,66,78
,1,4,50,70,71,76
,20,30,45,50,76,86
,4,14,31,68,70,74
,6,7,9,14,17,35
,3,18,19,65,81,88
,2,4,12,40,50,80
,7,28,44,55,57,78
,13,30,38,48,50,77
,13,18,19,49,78,87
,24,30,36,42,71,86
,41,50,54,60,75,88
,10,14,15,34,75,88
,11,24,46,48,68,82
,9,17,20,32,35,56
,8,9,42,71,78,79
,9,32,40,49,52,60
,10,26,50,55,62,81
,1,32,36,61,78,80
,1,37,69,74,77,89
,17,25,41,45,57,82
,2,17,21,49,69,74
,2,4,14,31,43,61
,8,11,17,27,62,84
,23,32,33,55,84,90
,32,41,45,47,78,90
,35,36,63,71,75,89
,7,9,16,24,32,40
,4,6,61,63,65,72
,18,34,58,60,64,88
,1,6,32,50,51,81
,9,14,33,38,46,87
,13,15,48,50,74,83
,4,16,40,57,71,84
,6,25,26,52,86,88
,30,41,47,71,79,86
,17,21,29,33,43,62
,2,19,22,46,51,54
,8,31,33,38,66,77
,19,22,31,41,54,87
,19,56,73,84,85,86
,27,29,39,54,59,74
,25,28,44,52,87,89
,13,25,33,53,75,83
,52,54,70,80,82,84
,12,36,45,67,77,88
,20,23,28,51,65,81
,31,39,55,58,85,87
,38,46,53,65,77,84
,1,28,34,42,49,77
,21,54,62,63,82,83
,1,19,20,56,60,83
,18,20,46,47,55,66
,5,30,36,63,84,85
,11,44,56,81,83,87
,7,22,46,50,55,73
,18,22,23,57,60,69
,6,8,24,28,36,63
,5,38,48,52,81,88
,15,20,57,72,76,89
,15,26,29,77,81,90
,1,17,39,41,56,65
,7,20,40,56,60,90
,10,38,61,62,74,86
,20,26,36,50,51,74
,3,9,28,42,50,79
,5,8,17,41,46,87
,11,17,48,52,70,90
,13,18,35,43,51,66
,2,12,32,57,61,81
,4,5,8,14,32,49
,24,45,50,60,63,87
,2,6,15,39,80,83
,13,24,51,68,77,81
,19,38,40,56,65,80
,7,21,31,39,46,69
,10,24,36,63,77,89
,11,26,46,56,58,78
,17,27,45,53,71,74
,2,30,49,66,74,80
,2,10,27,34,38,40
,12,26,30,51,57,89
,29,32,33,49,54,85
,2,14,58,74,80,82
,14,33,52,67,71,81
,19,22,28,48,49,85
,15,20,25,30,45,55
,8,16,29,49,56,62
,6,8,68,77,80,86
,8,27,32,51,52,89
,9,16,18,22,65,71
,29,37,52,67,80,82
,2,4,17,19,38,56
,1,12,65,67,76,86
,18,41,51,56,72,76
,17,31,32,43,59,71
,14,24,26,57,67,89
,28,43,67,68,72,79
,29,55,65,71,73,77
,17,28,63,78,84,88
,2,24,65,75,81,88
,12,23,28,32,42,85
,38,42,45,59,66,87
,2,5,12,33,54,59
,34,50,55,72,79,89
,1,2,6,42,67,83
,8,12,23,58,86,89
,14,30,61,86,88,90
,1,15,30,50,54,62
,10,11,15,33,79,83
,38,49,51,59,77,90
,10,11,24,30,48,63
,22,38,47,51,61,85
,14,29,58,72,75,85
,7,20,25,32,75,90
,3,32,34,36,82,87
,25,26,49,54,55,66
,10,25,52,54,59,84
,11,19,56,72,73,75
,1,10,19,44,68,74
,15,39,54,62,71,74
,9,11,20,35,66,68
,14,16,45,47,48,86
,1,32,34,58,64,86
,3,5,12,17,44,51
,8,18,33,41,62,71
,8,10,18,64,85,87
,3,54,56,57,75,90
,24,29,45,63,65,70
,9,14,61,76,80,83
,27,30,34,40,52,68
,25,31,33,42,58,86
,18,19,29,47,59,68
,24,25,45,51,52,63
,4,30,31,45,49,85
,17,18,25,43,66,87
,11,14,44,54,85,87
,5,23,44,59,60,83
,30,31,32,34,50,51
,8,9,22,43,50,56
,22,26,43,50,59,65
,1,4,32,59,70,86
,12,34,44,45,53,68
,1,41,59,63,81,85
,38,56,61,67,72,82
,26,37,43,67,75,78
,4,10,28,29,48,52
,19,27,35,56,60,89
,1,30,42,61,76,88
,4,13,15,18,72,76
,29,37,38,61,63,85
,15,22,26,45,48,82
,34,54,57,84,89,90
,25,37,40,61,65,77
,23,34,58,61,71,77
,12,27,34,76,77,85
,31,65,78,85,89,90
,2,25,43,72,87,89
,9,12,18,63,64,73
,8,39,59,65,82,83
,10,29,35,44,49,65
,4,28,48,67,68,84
,16,28,40,43,57,61
,1,32,37,54,66,81
,6,9,17,47,66,86
,4,18,43,60,69,85
,4,29,35,46,82,85
,7,30,34,61,84,88
,6,12,47,51,60,79
,9,13,16,49,64,65
,9,22,48,66,68,83
,14,18,30,48,53,86
,2,4,10,59,68,88
,45,46,48,52,77,78
,4,11,34,49,55,83
,3,16,22,31,45,56
,36,41,55,81,83,85
,11,40,41,44,67,70
,18,19,57,74,80,82
,47,49,67,80,84,85
,2,12,26,52,59,80
,18,25,37,47,62,87
,11,12,17,53,71,76
,4,34,39,60,61,77
,4,7,36,72,78,81
,24,44,48,61,73,87
,2,43,65,66,67,90
,1,6,45,48,64,78
,4,40,54,65,83,85
,3,12,23,71,76,83
,1,7,13,17,40,49
,3,14,18,25,47,75
,21,35,56,66,68,79
,21,22,26,35,47,85
,31,32,60,75,81,84
,26,41,50,55,69,86
,9,12,20,22,75,90
,9,18,25,31,78,81
,2,20,23,41,44,59
,28,29,37,43,51,78
,8,21,44,77,80,86
,53,68,75,79,82,84
,41,42,44,47,68,69
,5,24,35,49,62,77
,11,20,31,56,63,72
,2,10,15,26,68,71
,24,51,56,64,65,73
,54,65,66,68,70,85
,6,39,52,65,68,86
,17,21,35,48,60,76
,9,30,31,53,67,86
,7,15,31,39,41,45
,10,11,29,47,58,73
,14,23,24,44,77,86
,1,19,21,32,48,86
,13,25,30,57,58,64
,31,33,38,58,76,85
,12,14,18,22,28,33
,9,12,27,32,45,77
,1,7,21,27,39,78
,2,8,62,79,81,88
,1,9,22,25,58,84
,14,16,30,34,52,73
,12,17,24,45,67,84
,16,44,49,57,60,81
,32,51,74,79,80,81
,6,55,63,68,76,80
,63,67,74,77,83,85
,43,48,49,51,60,75
,9,13,15,51,73,74
,14,15,16,43,49,77
,11,27,56,57,64,66
,13,18,34,51,62,81
,2,21,38,74,79,83
,18,25,35,38,45,75
,6,9,11,32,63,83
,9,14,19,35,48,65
,13,17,26,33,60,78
,7,13,24,36,37,86
,4,22,36,60,66,90
,9,11,21,37,86,90
,11,17,40,69,84,85
,19,22,44,45,71,76
,34,37,52,58,65,89
,2,11,26,51,64,87
,8,19,28,33,71,89
,4,17,39,40,50,58
,3,6,46,48,63,76
,16,21,53,74,79,80
,16,21,31,62,69,85
,14,41,60,74,79,80
,32,35,58,63,76,79
,25,39,48,74,86,89
,3,50,60,64,85,86
,3,6,20,54,72,90
,5,16,40,70,74,76
,8,46,68,70,76,86
,3,16,29,34,37,57
,15,16,21,24,53,89
,4,6,27,76,80,86
,5,57,59,69,81,86
,16,24,56,69,85,87
,6,20,35,36,55,59
,18,29,52,74,76,88
,3,14,52,67,72,82
,1,4,9,10,36,79
,8,17,28,35,74,82
,8,27,54,62,82,83
,8,14,25,41,79,84
,28,43,59,60,78,80
,15,20,33,39,65,75
,57,60,73,77,82,86
,3,25,63,70,75,78
,19,37,45,51,82,83
,4,15,21,22,44,77
,29,38,75,79,80,90
,1,19,47,61,70,87
,6,37,46,53,73,78
,10,18,23,34,61,75
,10,33,40,42,46,77
,16,34,57,64,65,78
,21,26,35,59,66,70
,7,15,27,37,56,58
,2,22,36,77,83,90
,7,12,26,46,56,70
,11,28,32,48,54,59
,19,54,56,57,67,69
,41,50,69,71,77,81
,6,24,28,32,78,83
,45,48,71,75,80,83
,38,46,54,76,82,86
,9,18,24,42,59,71
,2,18,20,23,30,75
,9,14,62,64,78,82
,16,19,38,40,58,79
,15,20,45,59,81,85
,21,37,58,75,81,85
,36,37,46,48,51,74
,6,8,32,54,80,82
,6,12,38,42,49,83
,2,11,26,62,74,78
,27,37,44,47,73,86
,17,34,42,47,75,85
,22,32,45,60,61,80
,6,22,26,33,51,88
,4,29,30,47,52,59
,5,15,52,60,77,84
,5,11,58,75,78,81
,1,8,28,54,82,90
,20,25,39,49,69,71
,14,19,50,69,75,90
,17,24,33,41,63,66
,3,5,24,41,48,80
,6,17,32,40,44,67
,34,44,46,47,64,88
,22,28,46,52,69,86
,18,29,34,47,48,60
,34,46,50,52,67,86
,40,45,54,72,85,88
,28,29,36,54,55,68
,21,23,54,73,84,88
,5,29,32,33,72,89
,2,49,57,60,71,77
,7,12,66,68,73,76
,11,29,64,68,70,85
,29,39,49,56,83,85
,7,10,25,26,37,68
,18,25,29,30,33,69
,22,35,36,55,63,86
,38,45,46,55,65,73
,13,16,27,48,67,77
,8,46,48,69,72,81
,13,18,19,46,58,60
,6,15,39,68,80,89
,7,12,21,22,39,90
,6,21,38,48,79,90
,14,33,48,61,65,80
,14,17,35,37,55,83
,4,26,52,65,66,72
,9,16,19,35,41,59
,2,13,50,75,85,90
,10,17,30,55,62,78
,16,17,58,66,71,72
,21,22,31,32,33,81
,6,45,47,61,74,80
,14,38,43,57,65,72
,7,11,17,28,32,79
,19,24,35,69,80,89
,11,31,46,48,65,68
,6,7,8,38,45,78
,2,6,34,69,77,86
,8,12,41,42,46,51
,16,31,33,51,75,80
,1,11,40,45,46,57
,2,12,16,26,51,73
,3,16,24,27,44,88
,32,40,41,47,56,72
,14,38,40,51,53,64
,16,20,22,42,54,62
,27,28,48,61,87,88
,5,17,19,33,43,63
,4,12,25,27,35,69
,10,34,45,63,81,83
,14,15,65,68,82,85
,21,24,48,51,60,82
,2,30,44,52,58,69
,25,33,39,59,72,74
,3,7,53,65,66,73
,24,55,71,73,85,90
,22,39,43,65,77,89
,12,25,50,59,67,88
,35,39,48,71,88,89
,10,28,33,43,50,80
,6,17,23,46,52,53
,1,19,26,44,61,89
,5,19,28,43,58,82
,15,18,24,33,48,64
,8,69,70,84,88,90
,3,25,28,37,71,82
,2,10,41,49,56,71
,9,29,51,53,74,76
,29,43,46,50,85,86
,27,48,50,74,76,84
,2,5,24,32,47,62
,15,38,48,52,66,71
,5,24,68,72,78,85
,22,39,47,49,77,89
,20,45,51,63,85,89
,1,8,19,28,34,87
,4,8,16,35,36,74
,24,25,30,43,47,90
,7,31,35,57,88,89
,3,11,38,53,70,71
,5,17,34,40,78,82
,5,17,37,40,55,79
,17,25,52,55,67,75
,9,40,45,70,76,81
,10,44,48,62,68,83
,48,56,66,83,86,89
,9,23,57,72,77,82
,2,19,62,74,81,83
,12,36,45,46,67,75
,22,50,52,65,66,89
,11,15,42,64,82,84
,19,33,42,65,78,85
,2,13,17,31,45,69
,7,35,52,85,88,90
,9,20,33,43,44,48
,20,23,29,37,39,72
,2,24,42,62,66,81
,10,16,35,63,73,83
,11,15,32,35,52,56
,1,6,7,9,45,79
,30,45,47,49,71,90
,7,27,55,63,73,77
,3,20,47,55,81,83
,27,35,46,68,72,82
,8,28,34,38,47,54
,1,10,31,44,58,80
,12,23,39,54,72,73
,5,17,20,44,62,80
,11,43,68,72,79,85
,31,41,44,67,75,82
,44,52,64,66,67,71
,2,25,41,42,74,87
,6,10,26,47,60,75
,9,19,31,39,77,82
,6,14,19,59,79,81
,17,18,41,57,58,75
,41,62,77,79,81,84
,29,49,50,56,64,78
,3,10,38,52,65,71
,16,33,34,74,79,80
,40,51,55,56,74,81
,12,13,19,37,62,72
,1,27,31,58,83,87
,20,27,32,55,69,90
,19,28,42,49,68,83
,9,57,64,66,69,86
,45,56,66,74,77,88
,6,10,11,21,71,75
,33,39,47,64,67,76
,13,32,41,51,61,86
,1,12,31,33,44,50
,5,37,51,65,79,81
,2,9,15,22,47,65
,1,7,25,40,68,75
,6,11,37,42,58,62
,4,17,29,55,67,70
,2,6,37,39,51,86
,28,36,55,76,81,89
,9,13,23,32,45,54
,28,33,38,41,66,72
,11,19,27,41,61,83
,3,51,55,64,77,79
,27,41,50,60,63,81
,3,13,18,24,74,89
,2,9,14,19,27,77
,30,35,44,60,72,76
,11,38,47,71,76,77
,22,36,38,56,59,67
,7,29,37,43,72,79
,21,34,53,72,80,84
,10,19,47,67,68,75
,23,32,49,53,61,85
,5,6,41,44,65,74
,23,39,53,56,64,84
,11,18,21,23,55,66
,31,32,46,54,73,90
,14,57,73,79,82,84
,21,43,45,57,67,83
,2,10,12,21,22,50
,7,14,27,66,70,81
,2,16,30,39,51,79
,14,23,32,34,40,80
,42,44,54,68,69,81
,1,26,39,43,73,89
,16,28,29,55,63,69
,1,4,19,23,55,68
,18,25,47,51,70,83
,2,23,34,52,76,87
,7,25,32,39,59,86
,59,61,63,65,71,84
,16,23,29,49,57,76
,3,26,34,61,84,87
,2,24,31,42,47,55
,15,18,56,67,72,74
,12,16,29,45,82,85
,17,24,57,64,70,89
,21,37,46,56,65,77
,34,54,77,80,81,87
,3,7,18,47,64,82
,15,30,72,79,86,90
,27,28,33,75,77,78
,10,36,49,53,77,85
,20,23,39,50,62,68
,14,36,39,46,55,59
,8,13,25,50,65,72
18.10.18,16,23,50,73,80,88
20.10.18,4,14,27,38,89,90
23.10.18,6,30,49,56,64,81
25.10.18,10,21,24,26,29,89
27.10.18,3,12,35,51,59,80
30.10.18,6,30,49,56,64,81
03.11.18,23,35,40,79,86,87
05.11.18,8,36,39,40,48,50
06.11.18,4,16,24,42,51,84
08.11.18,11,15,20,27,45,59
10.11.18,9,15,20,46,50,84
13.11.18,7,15,22,31,46,50
15.11.18,6,12,34,36,40,66
17.11.18,3,5,38,53,54,82
20.11.18,3,9,43,48,61,83
22.11.18,15,24,28,34,56,73
24.11.18,30,38,63,68,77,80
27.11.18,6,12,15,30,31,89
29.11.18,6,22,27,36,62,76
01.12.18,7,16,33,54,80,84
04.12.18,6,31,37,47,71,78
06.12.18,10,30,44,45,47,49
10.12.18,7,37,52,73,87,88
11.12.18,6,17,32,38,47,90
13.12.18,7,9,12,21,30,41
15.12.18,5,23,36,42,47,79
18.12.18,39,61,68,69,70,86
20.12.18,11,49,58,71,76,89
22.12.18,4,14,16,51,64,88
24.12.18,12,19,36,42,77,87
27.12.18,36,43,44,49,78,82
29.12.18,24,37,46,49,62,71
03.01.19,1,35,52,56,64,70
05.01.19,46,52,55,68,76,89
08.01.19,23,34,38,54,57,87
07.01.19,3,8,28,45,55,58
10.01.19,2,39,66,76,86,87
12.01.19,16,33,36,62,73,88
15.01.19,8,43,51,56,57,87
17.01.19,21,26,33,35,63,89
19.01.19,1,15,45,48,60,80
22.01.19,3,22,79,82,83,88
24.01.19,3,19,40,49,60,82
26.01.19,17,19,62,72,78,82
29.01.19,6,11,29,65,87,90
31.01.19,4,21,59,63,65,83
02.02.19,37,42,52,80,86,88
05.02.19,11,21,34,46,50,86
07.02.19,9,26,27,49,54,76
09.02.19,5,26,43,52,63,90
12.02.19,14,28,64,69,84,90
14.02.19,4,30,47,76,78,83
16.02.19,10,17,42,59,61,80
19.02.19,15,16,32,63,67,70
21.02.19,11,16,43,59,87,90
23.02.19,5,31,47,60,68,88
26.02.19,13,25,27,52,66,75
28.02.19,2,11,50,55,79,85
02.03.19,19,34,37,40,66,69
05.03.19,3,6,16,36,56,82
07.03.19,8,42,51,62,80,84
09.03.19,9,15,51,70,78,86
12.03.19,13,37,58,66,67,88
14.03.19,27,28,42,63,78,86
16.03.19,49,61,63,77,87,88
19.03.19,12,15,38,43,56,85
21.03.19,27,32,52,59,69,90
23.03.19,21,32,43,63,83,90
26.03.19,14,27,45,47,52,84
28.03.19,43,53,58,68,83,90
30.03.19,1,10,20,28,47,55
02.04.19,19,25,30,32,37,60
04.04.19,7,29,38,49,66,70
06.04.19,41,54,85,87,88,89
09.04.19,1,13,28,33,37,65
11.04.19,5,10,52,60,85,88
13.04.19,16,22,30,40,51,77
16.04.19,15,55,58,62,82,90
18.04.19,7,10,46,47,73,89
20.04.19,5,18,76,87,88,89
23.04.19,19,20,32,51,63,79
27.04.19,6,17,18,42,64,71
29.04.19,8,22,61,65,69,74
30.04.19,13,29,31,51,55,72
02.05.19,1,28,57,75,82,83
04.05.19,4,15,41,52,76,85
07.05.19,5,8,21,49,66,90
09.05.19,3,17,26,38,54,82
11.05.19,9,20,47,58,65,78
14.05.19,37,59,69,75,89,90
16.05.19,11,25,37,67,75,85
18.05.19,31,33,44,57,62,65
21.05.19,20,38,76,82,84,87
23.05.19,2,8,15,32,72,79
25.05.19,33,51,53,59,66,68
28.05.19,8,30,33,58,84,89
30.05.19,16,33,59,65,69,73
01.06.19,17,19,24,46,48,72
04.06.19,15,49,63,79,85,86
06.06.19,2,15,47,54,78,79
08.06.19,15,16,54,64,66,72
11.06.19,16,25,36,46,48,58
13.06.19,11,22,23,26,32,77
15.06.19,4,23,43,47,74,82
18.06.19,13,23,63,67,68,81
20.06.19,25,26,35,42,65,76
22.06.19,35,39,41,69,70,74
25.06.19,14,43,61,62,75,85
27.06.19,33,34,37,50,68,82
29.06.19,6,22,33,45,60,81
02.07.19,13,18,37,48,63,67
04.07.19,40,42,57,64,80,86
06.07.19,6,12,22,25,29,62
09.07.19,1,20,26,54,59,74
11.07.19,15,26,32,48,66,84
13.07.19,3,13,15,36,42,90
18.07.19,12,22,37,40,51,68
16.07.19,30,47,48,60,67,90
03.08.19,6,16,21,27,33,66
01.08.19,20,30,37,52,82,83
30.07.19,6,8,16,42,84,87
27.07.19,13,33,40,61,78,80
25.07.19,7,20,28,36,55,69
06.08.19,20,22,27,43,46,72
08.08.19,6,10,24,63,66,89
10.08.19,10,15,42,57,68,80
13.08.19,7,32,41,59,75,76
17.08.19,8,13,31,37,39,46
19.08.19,17,28,57,66,67,71
20.08.19,20,35,40,41,79,88
22.08.19,1,12,24,42,65,67
24.08.19,20,36,40,42,63,86
27.08.19,4,15,34,37,47,73
29.08.19,21,37,45,53,83,84
31.08.19,31,35,52,59,60,75
03.09.19,18,29,39,58,59,76
05.09.19,7,26,31,34,52,54
07.09.19,9,29,43,66,70,84
10.09.19,15,16,21,49,50,83
12.09.19,12,17,20,62,80,88
14.09.19,1,7,10,40,52,59
17.09.19,9,18,26,43,60,79
19.09.19,38,50,53,56,65,76
21.09.19,31,36,44,47,50,56
24.09.19,7,45,55,60,81,89
26.09.19,17,20,42,44,83,90
28.09.19,37,49,66,75,77,82
01.10.19,11,59,63,73,84,89
03.10.19,4,5,31,35,46,80
05.10.19,20,38,52,58,68,72
08.10.19,25,35,47,70,79,87
10.10.19,9,12,29,42,65,75
15.10.19,5,38,45,54,59,65
12.10.19,5,33,40,45,79,90
17.10.19,10,29,33,55,65,72
19.10.19,15,30,75,76,77,79
22.10.19,9,28,40,77,79,81
24.10.19,18,51,53,57,82,87
26.10.19,8,12,13,14,51,83
29.10.19,21,32,47,61,67,68
31.10.19,35,41,53,60,65,80
05.11.19,32,56,64,65,87,90
02.11.19,10,19,30,68,78,80
07.11.19,4,9,37,48,49,77
09.11.19,1,21,43,51,81,88
12.11.19,14,15,51,55,61,73
14.11.19,33,52,57,72,76,81
16.11.19,7,29,31,58,65,86
19.11.19,19,26,56,74,77,82
21.11.19,23,29,35,50,57,60
23.11.19,12,29,52,61,72,79
26.11.19,21,22,35,63,76,79
28.11.19,7,16,17,50,52,74
